date,quantity
2014-01-01,32
2014-02-01,19
2014-03-01,92
2014-04-01,63
2014-05-01,50
2014-06-01,53
2014-07-01,65
2014-08-01,109
2014-09-01,138
2014-10-01,64
2014-11-01,204
2014-12-01,128
2015-01-01,42
2015-02-01,31
2015-03-01,101
2015-04-01,35
2015-05-01,84
2015-06-01,95
2015-07-01,54
2015-08-01,75
2015-09-01,130
2015-10-01,71
2015-11-01,167
2015-12-01,202
2016-01-01,43
2016-02-01,34
2016-03-01,69
2016-04-01,79
2016-05-01,151
2016-06-01,146
2016-07-01,110
2016-08-01,108
2016-09-01,200
2016-10-01,102
2016-11-01,141
2016-12-01,189
2017-01-01,67
2017-02-01,53
2017-03-01,114
2017-04-01,77
2017-05-01,119
2017-06-01,147
2017-07-01,104
2017-08-01,98
2017-09-01,304
2017-10-01,142
2017-11-01,256
2017-12-01,221
