date,quantity
2014-01-01,18
2014-02-01,3
2014-03-01,54
2014-04-01,19
2014-05-01,33
2014-06-01,38
2014-07-01,36
2014-08-01,31
2014-09-01,69
2014-10-01,49
2014-11-01,57
2014-12-01,133
2015-01-01,12
2015-02-01,25
2015-03-01,34
2015-04-01,33
2015-05-01,44
2015-06-01,24
2015-07-01,61
2015-08-01,9
2015-09-01,63
2015-10-01,57
2015-11-01,90
2015-12-01,76
2016-01-01,13
2016-02-01,16
2016-03-01,50
2016-04-01,54
2016-05-01,48
2016-06-01,26
2016-07-01,40
2016-08-01,31
2016-09-01,84
2016-10-01,57
2016-11-01,99
2016-12-01,96
2017-01-01,18
2017-02-01,17
2017-03-01,32
2017-04-01,24
2017-05-01,66
2017-06-01,53
2017-07-01,45
2017-08-01,38
2017-09-01,113
2017-10-01,56
2017-11-01,87
2017-12-01,125
