date,quantity
2014-01-01,7
2014-02-01,10
2014-03-01,28
2014-04-01,17
2014-05-01,17
2014-06-01,19
2014-07-01,21
2014-08-01,12
2014-09-01,57
2014-10-01,18
2014-11-01,68
2014-12-01,52
2015-01-01,6
2015-02-01,17
2015-03-01,15
2015-04-01,15
2015-05-01,38
2015-06-01,18
2015-07-01,12
2015-08-01,21
2015-09-01,28
2015-10-01,25
2015-11-01,21
2015-12-01,47
2016-01-01,17
2016-02-01,9
2016-03-01,4
2016-04-01,6
2016-05-01,28
2016-06-01,58
2016-07-01,27
2016-08-01,36
2016-09-01,70
2016-10-01,28
2016-11-01,45
2016-12-01,35
2017-01-01,9
2017-02-01,4
2017-03-01,31
2017-04-01,47
2017-05-01,37
2017-06-01,23
2017-07-01,41
2017-08-01,49
2017-09-01,70
2017-10-01,59
2017-11-01,36
2017-12-01,42
